"oeid","blog","name","desc","date"
"14193","http://glv.hypotheses.org/","Gouverner le vivant","Savoirs, cultures et politiques de la biodiversité","2015-03-20"
"14173","http://bigdata.hypotheses.org/","La ruée vers la donnée","Épistémologie de la donnée web en sciences sociales","2015-03-16"
"14169","http://caucasus.hypotheses.org/","Ancient Caucasus","Travaux archéologiques et paléoenvironnementaux réalisés dans les trois républiques du Sud-Caucase","2015-03-16"
"14181","http://fontegaia.hypotheses.org/","Fonte Gaia","Ressources et projets pour l'italianisme","2015-03-16"
"14178","http://memoloi.hypotheses.org/","Mémoloi","Projet de recherche sur la mémoire des lois patrimoniales","2015-03-16"
"14152","http://dissent.hypotheses.org/","Dissenting Experience","A research blog on the history, literature and culture of early-modern British dissent (1500-1800)","2015-03-04"
"14156","http://enkidu.hypotheses.org/","When enkidu died","","2015-03-04"
"14163","http://itti.hypotheses.org/","Images du travail","Travail des images","2015-03-04"
"14160","http://lascaux.hypotheses.org/","Programme Lascaux","Ressources naturelles et besoins socio-économiques","2015-03-04"
"14140","http://archimuse.hypotheses.org/","ArchiMuse","Architecture contemporaine et patrimoine, musées et architecture","2015-03-03"
"14142","http://caliza.hypotheses.org/","CALIZA","Cultura visual contemporánea","2015-03-03"
"14146","http://sorbonneco.hypotheses.org/","SorbonnEco","L'économie expliquée par les chercheurs, à la portée de tous","2015-03-03"
"14137","http://dokima.hypotheses.org/","Dokima","Séminaire des doctorants de Bourgogne et Franche-Comté étudiant les mondes anciens et médiévaux","2015-03-02"
"14121","http://archivtag.hypotheses.org/","Archivtag Rheinland-Pfalz/Saar","Jahrestagung der rheinland-pfälzischen und saarländischen Archivarinnen und Archivare","2015-02-24"
"14119","http://florus.hypotheses.org/","Florus de Lyon","De l'objet manuscrit ancien à l'information en ligne hyperactualisée, et retour","2015-02-24"
"14126","http://mnm.hypotheses.org/","Mondes normands médiévaux","Carnet de recherche","2015-02-24"
"14125","http://poleproust.hypotheses.org/","Pôle Proust","Activité et diffusion de la recherche interdisciplinaire sur Proust","2015-02-24"
"14105","http://124revue.hypotheses.org/","124-Sorbonne","Carnet de l'École doctorale d'histoire de l'art et d'archéologie","2015-02-19"
"14096","http://cenob.hypotheses.org/","Le carnet du Cénob","Corpus des énoncés des noms barbares","2015-02-19"
"14109","http://gslj.hypotheses.org/","Transtlantic Conversations","Genre, sexualités, droit et justice au miroir transatlantique / Transatlantic Conversations in Gender, Sexualities, Law and Justice","2015-02-19"
"14112","http://jeucycle.hypotheses.org/","Jeux cyclistes","Dans la littérature, la presse et la publicité (1890-1940)","2015-02-19"
"14115","http://langarts.hypotheses.org/","Langages artistiques","Asie-Occident","2015-02-19"
"14100","http://romannoir.hypotheses.org/","L'Espagne noire des Lumières","Le décor espagnol dans le roman noir français","2015-02-19"
"14092","http://barblog.hypotheses.org/","Rechtswirklichkeit","Der Blog des Berliner Arbeitskreises Rechtswirklichkeit","2015-02-18"
"14089","http://gygo.hypotheses.org/","Get Your Game On!","Game Studies, ludologie et culture geek","2015-02-18"
"14085","http://mayotte.hypotheses.org/","ANR INEMA","La départementalisation de Mayotte : construction et traitement des inégalités sociales et linguistiques","2015-02-18"
"14072","http://atelierhomere.hypotheses.org/","Atelier Homère","École normale supérieure Ulm","2015-02-17"
"14065","http://icem.hypotheses.org/","Identités et cultures en Méditerranée (ICEM)","Les élites politiques de la Révolution française à la Ve République","2015-02-17"
"14080","http://ostblog.hypotheses.org/","ostBLOG: Ost- und Südosteuropa","Ost- und Südosteuropa im Fokus der Wissenschaft","2015-02-17"
"14075","http://resilienz.hypotheses.org/","Resilienz","Theorie und Empirie, Veranstaltungen, Rezensionen und Empfehlungen","2015-02-17"
"14049","http://m2ssp.hypotheses.org/","Étudiants M2 SSP","Anciens et actuels étudiants du Master 2 recherche sciences sociales du politique - IEP de Strasbourg","2015-02-11"
"14057","http://ressources.hypotheses.org/","Ressources","","2015-02-11"
"14052","http://seinesaintdenis.hypotheses.org/","Seine-Saint-Denis","Géopolitique d'un département en évolution","2015-02-11"
"14061","http://techniquesmixtes.hypotheses.org/","Techniques mixtes","Conservation, restauration et art contemporain","2015-02-11"
"14005","http://mongolie.hypotheses.org/","Mongolie","Histoire, culture, arts","2015-01-30"
"14008","http://pest.hypotheses.org/","Pesticides – santé – travail","Carnet de recherche du projet SocioAgriPest","2015-01-30"
"13997","http://enserie.hypotheses.org/","Chercheurs en série","Saison 1 : The Wire. Le ghetto en réseau","2015-01-27"
"13992","http://histoiremoissac.hypotheses.org/","Histoire de Moissac","Histoire et évolution de la ville de Moissac","2015-01-27"
"13985","http://navigocorpus.hypotheses.org/","Navigocorpus","Corpus des itinéraires des navires de commerce, XVIIe-XIXe siècle","2015-01-27"
"14000","http://ubopathist.hypotheses.org/","Histoire et patrimoine UBO","Recherche et humanités numériques","2015-01-27"
"13969","http://biolog.hypotheses.org/","Biolographes","Création littéraire et savoirs biologiques au XIXe siècle","2015-01-15"
"13972","http://civipain.hypotheses.org/","Les civilisations du pain","Valoriser la culture du pain et comparer son extraordinaire diversité dans le monde","2015-01-15"
"13964","http://experserie.hypotheses.org/","Expériences sérielles","Récits transmedias : une perspective transatlantique","2015-01-15"
"13959","http://rgeomatic.hypotheses.org/","R Géomatique","Carnet de diffusion de travaux de géomatique réalisés grâce au logiciel de statistique R","2015-01-15"
"13953","http://amusearte.hypotheses.org/","a.muse.arte","Um espaço de reflexão em torno da arte e dos museus","2015-01-12"
"13949","http://apela.hypotheses.org/","Carnets de littératures africaines","Études et recherches en littératures africaines","2015-01-12"
"13945","http://gedi.hypotheses.org/","Genre et discriminations","Genre et discriminations sexistes et homophobes","2015-01-12"
"13941","http://jupit.hypotheses.org/","JUPIT-er","Gestion des conflits violents","2015-01-12"
"13939","http://sociorel.hypotheses.org/","sociorel","Sociologie des religions","2015-01-12"
"13936","http://aprasa.hypotheses.org/","Archives et pratiques savantes","Qu'est ce qu'une archive de chercheur ?","2015-01-09"
"13933","http://visuall.hypotheses.org/","Visuall","ANR - Reconnaissance et dissémination des visualités en sciences sociales allemandes","2015-01-09"
"13929","http://voyages.hypotheses.org/","Il ne scet rien qui ne va hors","Voyages et connaissance du monde au Moyen Âge","2015-01-09"
"13907","http://amuc.hypotheses.org/","Archive in München","Gemeinschaftsblog der Münchener Archive","2014-12-23"
"13911","http://Archivewk1.hypotheses.org/","1914-1918: Ein rheinisches Tagebuch","Quellen aus Archiven des Rheinlands","2014-12-23"
"13923","http://dhmuc.hypotheses.org/","Digital Humanities München","Arbeitskreis für digitale Geistes- und Sozialwissenschaften","2014-12-23"
"13913","http://cervenargo.hypotheses.org/","Cerveau en argot","À propos des molécules, de l’esprit et de tout ce qu’il y a entre les deux","2014-12-23"
"13919","http://cinema.hypotheses.org/","Le cinécritoire","Carnet de recherche sur le cinéma","2014-12-23"
"13915","http://vdg.hypotheses.org/","Vallée du Gier (2014-2015)","Expertise partagée dans la ville ordinaire","2014-12-23"
"13884","http://abp.hypotheses.org/","Archéologie du Bassin parisien","Réseaux de sites et réseaux d'acteurs","2014-12-22"
"13900","http://adshs.hypotheses.org/","Association des doctorants en sciences de l'Homme et de la société","ADSHS","2014-12-22"
"13893","http://bling.hypotheses.org/","Bling","Blog de linguistes","2014-12-22"
"13896","http://labantique.hypotheses.org/","Le laboratoire antique","Antiquité, territoire des écarts","2014-12-22"
"13887","http://revolution.hypotheses.org/","The French Revolution Network","Revolutionary transitions from the eighteenth century to the present","2014-12-22"
"13883","http://cuedespyd.hypotheses.org/","Aula Magna","Tendencias universitarias en un contexto global","2014-12-19"
"13862","http://dominicains.hypotheses.org/","Histoire des frères prêcheurs","Constitution d'un dictionnaire biographique des dominicains à l'époque contemporaine","2014-12-19"
"13863","http://esalvatori.hypotheses.org/","Intorno alla storia","Appunti di viaggio tra il medioevo e la cultura digitale","2014-12-19"
"13865","http://eshtoris.hypotheses.org/","ESHToris","Blog da Biblioteca Celestino Domingues | Escola Superior de Hotelaria e Turismo do Estoril (ESHTE)","2014-12-19"
"13874","http://globalherit.hypotheses.org/","Global Heritages","The inclusion of community knowdlege on territorial development","2014-12-19"
"13878","http://judgingthepast.hypotheses.org/","After the Cold War","Judging the Past in Chile, France, Indonesia and Spain","2014-12-19"
"13869","http://jfdias.hypotheses.org/","Na Fronteira dos Deuses Negros","Considerations on Yorùbá and Afro-Brazilian Candomblé patterns of thought an rituals.","2014-12-19"
"13857","http://albalat.hypotheses.org/","ALBALAT","Archéologie d'un établissement fluvial aux marges d'al-Andalus","2014-12-18"
"13852","http://genre.hypotheses.org/","Doctorat Genre","Centre d'études féminines et d'études de genre - Paris 8","2014-12-18"
"13859","http://matap.hypotheses.org/","Matières à penser","Les mises en scène des sciences et leurs enjeux. XIXe-XXIe siècle","2014-12-18"
"13856","http://miroir.hypotheses.org/","Dans le miroir d'Alice","Regards réflexifs sur la géographie et les sciences sociales","2014-12-18"
"13854","http://pfat.hypotheses.org/","Pôle franco-allemand","Université de Tours","2014-12-18"
"13848","http://deusexmachina.hypotheses.org/","Deus ex machina","Religion, normes et marchés (ou les petites fabriques du religieux en Europe)","2014-12-17"
"13833","http://djgd.hypotheses.org/","Deutsch-jüdische Geschichte Digital","","2014-12-17"
"13845","http://jjctelemme.hypotheses.org/","Jeunes chercheurs TELEMME","","2014-12-17"
"13840","http://neotopo.hypotheses.org/","Neotoponymie","Toponomascapes en construction : études en toponymie politique","2014-12-17"
"13837","http://sceau.hypotheses.org/","Trésors de cire","Sceaux et actes scellés de la Bibliothèque nationale de France","2014-12-17"
"13849","http://vorota.hypotheses.org/","Vorota !","Enjeux géopolitiques du football dans l'espace post-soviétique","2014-12-17"
"13818","http://140.hypotheses.org/","140 caractères","Twitter comme pratique d'écriture","2014-12-15"
"13820","http://corpsgir.hypotheses.org/","Prendre Corps","Genre, identités et représentations","2014-12-15"
"13822","http://pocram.hypotheses.org/","Conversion / Pouvoir et religion","Pouvoir politique et conversion religieuse (Antiquité - période moderne)","2014-12-15"
"13796","http://cem.hypotheses.org/","GDR Europe médiane","Connaissance de l'Europe médiane (CEM)","2014-12-11"
"13792","http://eurykleia.hypotheses.org/","Eurykleia","Catalogue des femmes grecques (VIIIe-IIIe siècle av. notre ère)","2014-12-11"
"13798","http://imagec.hypotheses.org/","Image Circle","Carnet de recherche visuelle de Fatima Aziz","2014-12-11"
"13800","http://nachhaltig.hypotheses.org/","Nachhaltigkeit","Crise écologique et durabilité","2014-12-11"
"13804","http://vett.hypotheses.org/","Vêtement et textile","Réseau collaboratif d’émulation et d’échanges de connaissances et de ressources sur l’histoire du vêtement, des matières et des accessoires textiles","2014-12-11"
"13788","http://dph.hypotheses.org/","Digital and Public History","@sergenoiret","2014-12-08"
"13782","http://efmr.hypotheses.org/","Les carnets d'EFMR","Études francophones mises en réseau - Studi francofoni in Italia","2014-12-04"
"13778","http://mobilvideo.hypotheses.org/","Mobilvideo","","2014-12-04"
"13787","http://transpume.hypotheses.org/","TRANSPUME","Transformations du service public en Méditerranée","2014-12-04"
"13759","http://chiffres.hypotheses.org/","Chiffres privés publics","Calculs, comptabilités et statistiques (XVIIe-XXIe siècle)","2014-11-28"
"13766","http://dse.hypotheses.org/","Design des spatialités des « voyages extraordinaires »","Comment lutter contre le stress des individus en situation d'isolement et de confinement","2014-11-28"
"13762","http://pgf.hypotheses.org/","Prisonniers de guerre","Recherches sur la captivité des soldats français de la seconde guerre mondiale et sur le phénomène de la captivité de guerre","2014-11-28"
"13756","http://revin.hypotheses.org/","Régulation, violence, incertitude","Approches anthropologiques et politiques des sociétés africaines","2014-11-28"
"13727","http://avantmusic.hypotheses.org/","„Musik – wohin?“","Das Musikleben der 1950er Jahre im Spannungsfeld von Fortschritt und Tradition","2014-11-26"
"13740","http://atomsforeu.hypotheses.org/","Atoms for Europe","Atomic Energy, the Threat of Nuclear Warfare, and the History of the European Integration","2014-11-26"
"13733","http://filmeditio.hypotheses.org/","Filmedition & Filmvermittlung","Filmsammlung und multimediale Edition im digitalen Zeitalter","2014-11-26"
"13753","http://histnum.hypotheses.org/","Histoire numérique","L'histoire contemporaine à l'ère numérique","2014-11-26"
"13744","http://imagest.hypotheses.org/","Imaginarios de Estado","Modelos, utopías y distopías en la construcción del Estado-nación español en perspectiva comparada(siglos XVIII-XX)","2014-11-26"
"13750","http://mh2st.hypotheses.org/","Carnet du MH2ST","Master indifférencié histoire des sciences, histoire des techniques de l'université Paris 1 Panthéon-Sorbonne","2014-11-26"
"13731","http://wwc.hypotheses.org/","Weber World Café","Transregionale Dialoge zwischen Wissenschaft, Gesellschaft und Kultur","2014-11-26"
"13714","http://afasarchi.hypotheses.org/","À faire / À suivre","Collectif des doctorants de l'École nationale supérieure d'architecture de Grenoble","2014-11-24"
"13723","http://corpsmots.hypotheses.org/","Corps et mots","","2014-11-24"
"13720","http://icp.hypotheses.org/","Religion, culture et société","Unité de recherche de l'Institut catholique de Paris","2014-11-24"
"13718","http://kaltim.hypotheses.org/","À l’Est de Bornéo – Kaltim","Mission archéologique Franco-Indonésienne – Archéologie des karsts, art pariétal, technologies et évolution du peuplement","2014-11-24"
"13712","http://marginalia.hypotheses.org/","Marginalia","Savoir(s)d'annotateurs","2014-11-24"
"13705","http://arear.hypotheses.org/","Archéologie et archives","Les sources de la recherche au Centre Camille Jullian au cœur des Humanités numériques","2014-11-19"
"13698","http://ecdotica.hypotheses.org/","Crítica textual para Dummies","Consejos, notas, procedimientos e información para la edición de textos medievales","2014-11-19"
"13692","http://lnp.hypotheses.org/","Learning@the Nexus of Practice","Blog of the 11th ICLS pre-conference workshop - Mediated Action and Mediated Discourse Analysis: Studying, Learning and Becoming at the Nexus of Practice","2014-11-19"
"13702","http://pci.hypotheses.org/","Restituer l'inventaire du PCI","Usages, contextes et enjeux dans le domaine de la fête et du jeu","2014-11-19"
"13708","http://poleni.hypotheses.org/","Autour de Poleni","Carnet de thèse en histoires des sciences, TIC et médiation culturelle","2014-11-19"
"13688","http://merzdadaco.hypotheses.org/","Dada, Merz and Co.","Historische Avantgarde im Spiegel der Gegenwart","2014-11-19"
"13684","http://labexmed.hypotheses.org/","LabexMed","Les sciences humaines et sociales au cœur de l'interdisciplinarité pour la Méditerranée","2014-11-18"
"13674","http://archeomed.hypotheses.org/","ArcheoMed","Les interactions sociétés – environnements en Méditerranée du Néolithique à nos jours","2014-11-14"
"13677","http://quartier.hypotheses.org/","La ville en mouvement","Pangrati, un quartier d'Athènes","2014-11-14"
"13682","http://soudan.hypotheses.org/","Études soudanaises en France","Au delà des dichotomies : le Soudan, de la formation du pays à l’indépendance du Sud, 1869-2011","2014-11-14"
"13669","http://musmig.hypotheses.org/","Music migrations","Music migrations in the early modern age: the meeting of the European East, West and South (MusMig)","2014-11-13"
"13666","http://alterpol.hypotheses.org/","Alter-politique","Notes d'anthropologie politique","2014-11-06"
"13664","http://pariset.hypotheses.org/","EA538","Centre François-Georges Pariset","2014-11-06"
"13659","http://anathema.hypotheses.org/","Anathema","Actualités de recherches sur la religion hellénistique","2014-10-28"
"13656","http://arts.hypotheses.org/","Carnet de recherche du réseau ARTS","Réseau thématique « Articulation vie familiale / vie professionnelle et temps sociaux » de l’Association française de sociologie","2014-10-28"
"13661","http://dimh.hypotheses.org/","El dibujante ingeniero(DIMH)","El dibujante ingeniero al servicio de la monarquía hispánica. Siglos XVI-XVIII","2014-10-28"
"13593","http://tei.hypotheses.org/","Le temps de l'Empire ibérique","Séminaire annuel de recherche Le temps de l’Empire ibérique (XVe-XVIIIe siècle) à l’université de Caen Basse-Normandie","2014-10-14"
"13583","http://cirpp.hypotheses.org/","Le carnet du CIRPP","Journal de bord du chercheur collectif","2014-10-10"
"13588","http://fri.hypotheses.org/","Filologia Risorse informatiche","Risorse online utili agli studia humanitatis","2014-10-10"
"13574","http://catnotes.hypotheses.org/","Catastrophe","Notes de recherche","2014-10-03"
"13578","http://ds.hypotheses.org/","Droit et Société","","2014-10-03"
"13580","http://vacarme.hypotheses.org/","Le Vacarme des couleurs","Carnet d'écriture sensible","2014-10-03"
"13570","http://ifph.hypotheses.org/","IFPH-FIHP","International Federation for Public History / Fédération Internationale pour l’Histoire Publique","2014-09-24"
"13566","http://infouma.hypotheses.org/","Leggere Scrivere Far di conto","La lunga strada verso l'Informatica Umanistica","2014-09-24"
"13555","http://sud.hypotheses.org/","Sociétés urbaines et déchets","Réseau de recherche en sciences sociales sur les déchets","2014-09-19"
"13493","http://seminesaa.hypotheses.org/","SEMINESAA","Art et artefactualité","2014-08-20"
"13318","http://editef.hypotheses.org/","EDITEF","L'édition italienne dans l'espace francophone à la première modernité","2014-04-17"
"13638","http://eigenlogik.hypotheses.org/","Die Eigenlogik des Designs","","2014-04-16"
"13314","http://chmcc.hypotheses.org/","Politiques de la culture","Carnet de recherche du Comité d'histoire du Ministère de la culture et de la communication","2014-04-15"
"13312","http://guerillera.hypotheses.org/","Femmes et guerres au Viêt-Nam","Expériences transnationales","2014-04-15"
"13311","http://poinssot.hypotheses.org/","Fonds Poinssot","Un siècle d'archéologie française en Afrique du Nord","2014-04-15"
"13305","http://buclermont.hypotheses.org/","BCU 1914-1918","Commémoration du centenaire de la guerre de 1914-1918 par la Bibliothèque Clermont Université","2014-04-11"
"13308","http://crisyr.hypotheses.org/","Proche-Orient et crise syrienne - Paradigmes en débat","Carnet du programme de recherche : le Proche-Orient et la crise syrienne","2014-04-11"
"13298","http://irene.hypotheses.org/","Identités et religions","Laïcité et place des religions dans l'espace public français","2014-04-11"
"13278","http://apocryphes.hypotheses.org/","Apocryphes","Définitions, statuts, usages et productions des apocryphes","2014-03-28"
"13266","http://banlit.hypotheses.org/","Banlieue littéraire","La littérature de « banlieue » : un engagement littéraire contemporain","2014-03-21"
"13264","http://ihtpbibarch.hypotheses.org/","Collections du temps présent","Bibliothèque et archives de l'Institut d'histoire du temps présent","2014-03-21"
"13237","http://bdh.hypotheses.org/","Bibliotecas e humanidades digitais","As bibliotecas digitais e a relação que estabelecem com as humanidades","2014-03-14"
"13234","http://engind.hypotheses.org/","Engind","Engineers and society in colonial and post-colonial India","2014-03-14"
